"","region","oktmo","year","index"
"180","Камчатский край",30,"2008",1.20379520440052
"181","Карачаево-Черкесская Республика",91,"2008",0.598299226801244
"182","Кемеровская область - Кузбасс",32,"2008",0.597319144311815
"183","Кировская область",33,"2008",0.63297891248422
"184","Костромская область",34,"2008",0.60563207195532
"185","Краснодарский край",3,"2008",0.673377608009661
"186","Красноярский край",4,"2008",0.742719713673725
"187","Курганская область",37,"2008",0.625927396707938
"188","Курская область",38,"2008",0.648622654022756
"189","Ленинградская область",41,"2008",0.709130814098156
"190","Липецкая область",42,"2008",0.637931122037028
"191","Магаданская область",44,"2008",0.991263554845518
"192","Московская область",46,"2008",0.756818682708196
"193","Мурманская область",47,"2008",0.912007889410132
"194","Нижегородская область",22,"2008",0.691227296871556
"195","Новгородская область",49,"2008",0.675439335940793
"196","Новосибирская область",50,"2008",0.704739232041893
"197","Омская область",52,"2008",0.606949343446295
"198","Оренбургская область",53,"2008",0.591795135337712
"199","Орловская область",54,"2008",0.579422736491873
"200","Пензенская область",56,"2008",0.603726750970688
"201","Пермский край",57,"2008",0.730329033496477
"202","Приморский край",5,"2008",0.872312009514417
"203","Псковская область",58,"2008",0.650028285282208
"204","Республика Адыгея (Адыгея)",79,"2008",0.648198120882257
"205","Республика Алтай",84,"2008",0.683396793251345
"206","Республика Башкортостан",80,"2008",0.599713998726401
"207","Республика Бурятия",81,"2008",0.703995791231258
"208","Республика Дагестан",82,"2008",0.599118839826083
"209","Республика Ингушетия",26,"2008",0.621447454883198
"210","Республика Калмыкия",85,"2008",0.614592971234325
"211","Республика Карелия",86,"2008",0.709501518873951
"212","Республика Коми",87,"2008",0.824466718328355
"213","Республика Марий Эл",88,"2008",0.576737412033788
"214","Республика Мордовия",89,"2008",0.578376638083466
"215","Республика Саха (Якутия)",98,"2008",0.96600789550391
"216","Республика Северная Осетия-Алания",90,"2008",0.571124027661686
"217","Республика Татарстан (Татарстан)",92,"2008",0.586636752991791
"218","Республика Тыва",93,"2008",0.658080196138373
"219","Республика Хакасия",95,"2008",0.654349788901404
"220","Ростовская область",60,"2008",0.679206305840581
"221","Рязанская область",61,"2008",0.679843105551329
"222","Самарская область",36,"2008",0.757727671131035
"223","Саратовская область",63,"2008",0.59202162072128
"224","Сахалинская область",64,"2008",1.04655747295125
"225","Свердловская область",65,"2008",0.701328748104581
"226","Смоленская область",66,"2008",0.636391427680576
"227","Ставропольский край",7,"2008",0.693419025381597
"228","Тамбовская область",68,"2008",0.624186607705987
"229","Тверская область",28,"2008",0.677396454031084
"230","Томская область",69,"2008",0.729039184002616
"231","Тульская область",70,"2008",0.622347302640332
"232","Тюменская область",71,"2008",0.888371143527748
"233","Удмуртская Республика",94,"2008",0.58515698077718
"234","Ульяновская область",73,"2008",0.605954026514024
"235","Хабаровский край",8,"2008",0.913299770163039
"236","Челябинская область",75,"2008",0.640286366900228
"237","Чеченская Республика",96,"2008",0.61544813129246
"238","Чувашская Республика - Чувашия",97,"2008",0.593354126655095
"239","Чукотский автономный округ",77,"2008",1.42080070200313
"240","Ярославская область",78,"2008",0.644005602212447
"241","Алтайский край",1,"2009",0.625016156643658
"242","Амурская область",10,"2009",0.80227150786352
"243","Архангельская область",11,"2009",0.798783532590856
"244","Астраханская область",12,"2009",0.625893962204147
"245","Белгородская область",14,"2009",0.609650839820013
"246","Брянская область",15,"2009",0.621681611368326
"247","Владимирская область",17,"2009",0.674883695412629
"248","Волгоградская область",18,"2009",0.660532876328913
